table,0.0,0.1,0.2,0.3,0.4,0.5,0.6,0.7,0.8,0.9
ad_combined,[],"['ad_conversion', 'operating_system', 'city', 'ad_click', 'region', 'browser', 'creative', 'ad_view']",[],[],['ad_win'],['agg_hourly'],"['agg_monthly', 'agg_daily', 'agg_monthly_v2', 'ad_request']",[],[],[]
agg_monthly,[],"['ad_win', 'operating_system', 'city', 'brand', 'region', 'browser']",['creative'],[],[],['ad_request'],['ad_combined'],[],[],['agg_hourly']
ad_win,[],"['agg_monthly', 'agg_daily', 'agg_monthly_v2', 'agg_hourly']","['ad_request', 'creative']",[],['ad_combined'],"['ad_conversion', 'ad_click', 'ad_view']",[],[],[],[]
agg_daily,[],"['ad_win', 'operating_system', 'city', 'brand', 'region', 'browser']",['creative'],[],[],['ad_request'],['ad_combined'],[],[],['agg_hourly']
ad_conversion,[],['ad_combined'],[],['ad_request'],[],['ad_win'],[],[],[],[]
agg_monthly_v2,[],"['ad_win', 'operating_system', 'city', 'brand', 'region', 'browser']",['creative'],[],[],['ad_request'],['ad_combined'],[],[],['agg_hourly']
ad_request,[],"['operating_system', 'city', 'region', 'browser']",['ad_win'],"['ad_conversion', 'ad_click', 'ad_view']",[],"['agg_monthly', 'agg_daily', 'agg_monthly_v2', 'agg_hourly']",['ad_combined'],[],[],[]
operating_system,[],"['agg_monthly', 'agg_daily', 'agg_monthly_v2', 'ad_request', 'agg_hourly', 'ad_combined']",[],[],[],[],[],[],[],[]
city,[],"['agg_monthly', 'agg_daily', 'agg_monthly_v2', 'ad_request', 'agg_hourly', 'ad_combined']",[],[],[],[],[],[],[],[]
brand,[],"['agg_monthly', 'agg_daily', 'agg_monthly_v2', 'agg_hourly']",[],['creative'],['brand_category'],[],[],[],[],[]
ad_click,[],['ad_combined'],[],['ad_request'],[],['ad_win'],[],[],[],[]
brand_category,[],[],[],[],['brand'],[],[],[],[],[]
region,[],"['agg_monthly', 'agg_daily', 'agg_monthly_v2', 'ad_request', 'agg_hourly', 'ad_combined']",[],[],[],[],[],[],[],[]
agg_hourly,[],"['ad_win', 'operating_system', 'city', 'brand', 'region', 'browser']",['creative'],[],[],"['ad_request', 'ad_combined']",[],[],[],"['agg_monthly', 'agg_daily', 'agg_monthly_v2']"
browser,[],"['agg_monthly', 'agg_daily', 'agg_monthly_v2', 'ad_request', 'agg_hourly', 'ad_combined']",[],[],[],[],[],[],[],[]
creative,[],['ad_combined'],"['agg_monthly', 'ad_win', 'agg_daily', 'agg_monthly_v2', 'agg_hourly']",['brand'],[],[],[],[],[],[]
ad_view,[],['ad_combined'],[],['ad_request'],[],['ad_win'],[],[],[],[]
