table,columns,operating_system_overlap,operating_system_sim_ratio,ad_request_overlap,ad_request_sim_ratio,city_overlap,city_sim_ratio,agg_hourly_overlap,agg_hourly_sim_ratio,ad_view_overlap,ad_view_sim_ratio,brand_overlap,brand_sim_ratio,browser_overlap,browser_sim_ratio,ad_win_overlap,ad_win_sim_ratio,agg_daily_overlap,agg_daily_sim_ratio,region_overlap,region_sim_ratio,agg_monthly_v2_overlap,agg_monthly_v2_sim_ratio,ad_click_overlap,ad_click_sim_ratio,creative_overlap,creative_sim_ratio,ad_combined_overlap,ad_combined_sim_ratio,brand_category_overlap,brand_category_sim_ratio,agg_monthly_overlap,agg_monthly_sim_ratio,ad_conversion_overlap,ad_conversion_sim_ratio
ad_conversion,"['datetime', 'ad_request_id']",[],0.0,"['datetime', 'ad_request_id']",0.36363636363636365,[],0.0,[],0.0,"['datetime', 'ad_request_id']",1.0,[],0.0,[],0.0,"['datetime', 'ad_request_id']",0.5714285714285714,[],0.0,[],0.0,[],0.0,"['datetime', 'ad_request_id']",1.0,[],0.0,['datetime'],0.125,[],0.0,[],0.0,,
operating_system,"['os_id', 'operating_system_name']",,,['os_id'],0.18181818181818182,[],0.0,['os_id'],0.10526315789473684,[],0.0,[],0.0,[],0.0,[],0.0,['os_id'],0.1111111111111111,[],0.0,['os_id'],0.1111111111111111,[],0.0,[],0.0,['os_id'],0.125,[],0.0,['os_id'],0.1111111111111111,[],0.0
ad_request,"['country_id', 'browser_id', 'datetime', 'region_id', 'os_id', 'publisher_id', 'city_id', 'postal_code', 'ad_request_id']",['os_id'],0.18181818181818182,,,['city_id'],0.18181818181818182,"['country_id', 'browser_id', 'region_id', 'os_id', 'publisher_id', 'city_id', 'postal_code']",0.5384615384615384,"['datetime', 'ad_request_id']",0.36363636363636365,[],0.0,['browser_id'],0.18181818181818182,"['datetime', 'ad_request_id']",0.2857142857142857,"['country_id', 'browser_id', 'region_id', 'os_id', 'publisher_id', 'city_id', 'postal_code']",0.56,['region_id'],0.18181818181818182,"['country_id', 'browser_id', 'region_id', 'os_id', 'publisher_id', 'city_id', 'postal_code']",0.56,"['datetime', 'ad_request_id']",0.36363636363636365,[],0.0,"['country_id', 'browser_id', 'datetime', 'region_id', 'os_id', 'publisher_id', 'city_id', 'postal_code']",0.6956521739130435,[],0.0,"['country_id', 'browser_id', 'region_id', 'os_id', 'publisher_id', 'city_id', 'postal_code']",0.56,"['datetime', 'ad_request_id']",0.36363636363636365
city,"['city_id', 'city_name']",[],0.0,['city_id'],0.18181818181818182,,,['city_id'],0.10526315789473684,[],0.0,[],0.0,[],0.0,[],0.0,['city_id'],0.1111111111111111,[],0.0,['city_id'],0.1111111111111111,[],0.0,[],0.0,['city_id'],0.125,[],0.0,['city_id'],0.1111111111111111,[],0.0
agg_hourly,"['country_id', 'browser_id', 'cost', 'creative_id', 'brand_id', 'region_id', 'clicks', 'conversions', 'publisher_id', 'views', 'os_id', 'postal_code', 'city_id', 'hour', 'ymd', 'impressions', 'spend']",['os_id'],0.10526315789473684,"['country_id', 'browser_id', 'region_id', 'publisher_id', 'os_id', 'postal_code', 'city_id']",0.5384615384615384,['city_id'],0.10526315789473684,,,[],0.0,['brand_id'],0.1,['browser_id'],0.10526315789473684,"['cost', 'creative_id']",0.18181818181818182,"['country_id', 'browser_id', 'cost', 'creative_id', 'brand_id', 'region_id', 'clicks', 'conversions', 'publisher_id', 'views', 'os_id', 'postal_code', 'city_id', 'ymd', 'impressions', 'spend']",0.9696969696969697,['region_id'],0.10526315789473684,"['country_id', 'browser_id', 'cost', 'creative_id', 'brand_id', 'region_id', 'clicks', 'conversions', 'publisher_id', 'views', 'os_id', 'postal_code', 'city_id', 'ymd', 'impressions', 'spend']",0.9696969696969697,[],0.0,"['creative_id', 'brand_id']",0.2,"['country_id', 'browser_id', 'cost', 'creative_id', 'region_id', 'publisher_id', 'os_id', 'postal_code', 'city_id']",0.5806451612903226,[],0.0,"['country_id', 'browser_id', 'cost', 'creative_id', 'brand_id', 'region_id', 'clicks', 'conversions', 'publisher_id', 'views', 'os_id', 'postal_code', 'city_id', 'ymd', 'impressions', 'spend']",0.9696969696969697,[],0.0
ad_view,"['datetime', 'ad_request_id']",[],0.0,"['datetime', 'ad_request_id']",0.36363636363636365,[],0.0,[],0.0,,,[],0.0,[],0.0,"['datetime', 'ad_request_id']",0.5714285714285714,[],0.0,[],0.0,[],0.0,"['datetime', 'ad_request_id']",1.0,[],0.0,['datetime'],0.125,[],0.0,[],0.0,"['datetime', 'ad_request_id']",1.0
brand,"['brand_category_id', 'brand_id', 'brand_name']",[],0.0,[],0.0,[],0.0,['brand_id'],0.1,[],0.0,,,[],0.0,[],0.0,['brand_id'],0.10526315789473684,[],0.0,['brand_id'],0.10526315789473684,[],0.0,['brand_id'],0.3333333333333333,[],0.0,['brand_category_id'],0.4,['brand_id'],0.10526315789473684,[],0.0
browser,"['browser_id', 'browser_name']",[],0.0,['browser_id'],0.18181818181818182,[],0.0,['browser_id'],0.10526315789473684,[],0.0,[],0.0,,,[],0.0,['browser_id'],0.1111111111111111,[],0.0,['browser_id'],0.1111111111111111,[],0.0,[],0.0,['browser_id'],0.125,[],0.0,['browser_id'],0.1111111111111111,[],0.0
ad_win,"['datetime', 'creative_id', 'cost', 'price', 'ad_request_id']",[],0.0,"['datetime', 'ad_request_id']",0.2857142857142857,[],0.0,"['creative_id', 'cost']",0.18181818181818182,"['datetime', 'ad_request_id']",0.5714285714285714,[],0.0,[],0.0,,,"['creative_id', 'cost']",0.19047619047619047,[],0.0,"['creative_id', 'cost']",0.19047619047619047,"['datetime', 'ad_request_id']",0.5714285714285714,['creative_id'],0.25,"['datetime', 'creative_id', 'cost', 'price']",0.42105263157894735,[],0.0,"['creative_id', 'cost']",0.19047619047619047,"['datetime', 'ad_request_id']",0.5714285714285714
agg_daily,"['country_id', 'browser_id', 'cost', 'creative_id', 'brand_id', 'region_id', 'clicks', 'conversions', 'publisher_id', 'views', 'os_id', 'postal_code', 'city_id', 'ymd', 'impressions', 'spend']",['os_id'],0.1111111111111111,"['country_id', 'browser_id', 'region_id', 'publisher_id', 'os_id', 'postal_code', 'city_id']",0.56,['city_id'],0.1111111111111111,"['country_id', 'browser_id', 'cost', 'creative_id', 'brand_id', 'region_id', 'clicks', 'conversions', 'publisher_id', 'views', 'os_id', 'postal_code', 'city_id', 'ymd', 'impressions', 'spend']",0.9696969696969697,[],0.0,['brand_id'],0.10526315789473684,['browser_id'],0.1111111111111111,"['cost', 'creative_id']",0.19047619047619047,,,['region_id'],0.1111111111111111,"['country_id', 'browser_id', 'cost', 'creative_id', 'brand_id', 'region_id', 'clicks', 'conversions', 'publisher_id', 'views', 'os_id', 'postal_code', 'city_id', 'ymd', 'impressions', 'spend']",1.0,[],0.0,"['creative_id', 'brand_id']",0.21052631578947367,"['country_id', 'browser_id', 'cost', 'creative_id', 'region_id', 'publisher_id', 'os_id', 'postal_code', 'city_id']",0.6,[],0.0,"['country_id', 'browser_id', 'cost', 'creative_id', 'brand_id', 'region_id', 'clicks', 'conversions', 'publisher_id', 'views', 'os_id', 'postal_code', 'city_id', 'ymd', 'impressions', 'spend']",1.0,[],0.0
