table,columns,foreign_key_tables
catalog.public.ad_combined,"['postal_code', 'view', 'country_id', 'click', 'os_id', 'publisher_id', 'region_id', 'creative_id', 'cost', 'browser_id', 'price', 'city_id', 'datetime', 'conversion']","['browser', 'city', 'creative', 'region']"
catalog.public.agg_daily,"['postal_code', 'conversions', 'views', 'os_id', 'country_id', 'publisher_id', 'region_id', 'impressions', 'ymd', 'spend', 'creative_id', 'clicks', 'cost', 'browser_id', 'city_id', 'brand_id']","['browser', 'city', 'brand', 'creative', 'region']"
catalog.public.ad_view,"['ad_request_id', 'datetime']",['ad_request']
catalog.public.browser,"['id', 'name']",[]
catalog.public.ad_win,"['creative_id', 'ad_request_id', 'cost', 'price', 'datetime']","['ad_request', 'creative']"
catalog.public.city,"['id', 'name']",[]
catalog.public.brand_category,"['id', 'name']",[]
catalog.public.agg_monthly_v2,"['postal_code', 'conversions', 'views', 'country_id', 'os_id', 'publisher_id', 'impressions', 'region_id', 'ymd', 'spend', 'creative_id', 'clicks', 'cost', 'browser_id', 'city_id', 'brand_id']","['browser', 'city', 'brand', 'creative', 'region']"
catalog.public.brand,"['id', 'name', 'brand_category_id']",['brand_category']
catalog.public.operating_system,"['id', 'name']",[]
catalog.public.agg_monthly,"['postal_code', 'conversions', 'views', 'country_id', 'os_id', 'publisher_id', 'impressions', 'region_id', 'ymd', 'spend', 'creative_id', 'clicks', 'cost', 'browser_id', 'city_id', 'brand_id']","['browser', 'city', 'brand', 'creative', 'region']"
catalog.public.ad_request,"['postal_code', 'os_id', 'country_id', 'publisher_id', 'region_id', 'ad_request_id', 'browser_id', 'city_id', 'datetime']","['browser', 'city', 'ad_request', 'region']"
catalog.public.ad_conversion,"['ad_request_id', 'datetime']",['ad_request']
catalog.public.ad_click,"['ad_request_id', 'datetime']",['ad_request']
catalog.public.creative,"['id', 'brand_id', 'name']",['brand']
catalog.public.agg_hourly,"['postal_code', 'conversions', 'views', 'country_id', 'os_id', 'publisher_id', 'impressions', 'region_id', 'ymd', 'spend', 'creative_id', 'clicks', 'cost', 'browser_id', 'city_id', 'brand_id', 'hour']","['browser', 'city', 'brand', 'creative', 'region']"
catalog.public.region,"['id', 'name']",[]
