table,columns,agg_monthly_overlap,agg_monthly_sim_ratio,ad_win_overlap,ad_win_sim_ratio,agg_daily_overlap,agg_daily_sim_ratio,ad_conversion_overlap,ad_conversion_sim_ratio,agg_monthly_v2_overlap,agg_monthly_v2_sim_ratio,ad_request_overlap,ad_request_sim_ratio,operating_system_overlap,operating_system_sim_ratio,city_overlap,city_sim_ratio,brand_overlap,brand_sim_ratio,ad_click_overlap,ad_click_sim_ratio,brand_category_overlap,brand_category_sim_ratio,region_overlap,region_sim_ratio,agg_hourly_overlap,agg_hourly_sim_ratio,browser_overlap,browser_sim_ratio,creative_overlap,creative_sim_ratio,ad_view_overlap,ad_view_sim_ratio,ad_combined_overlap,ad_combined_sim_ratio
ad_combined,"['city_id', 'country_id', 'creative_id', 'region_id', 'datetime', 'click', 'conversion', 'postal_code', 'price', 'cost', 'os_id', 'view', 'publisher_id', 'browser_id']","['city_id', 'country_id', 'creative_id', 'region_id', 'postal_code', 'cost', 'os_id', 'publisher_id', 'browser_id']",0.6,"['creative_id', 'datetime', 'price', 'cost']",0.42105263157894735,"['city_id', 'country_id', 'creative_id', 'region_id', 'postal_code', 'cost', 'os_id', 'publisher_id', 'browser_id']",0.6,['datetime'],0.125,"['city_id', 'country_id', 'creative_id', 'region_id', 'postal_code', 'cost', 'os_id', 'publisher_id', 'browser_id']",0.6,"['city_id', 'country_id', 'region_id', 'datetime', 'postal_code', 'os_id', 'publisher_id', 'browser_id']",0.6956521739130435,['os_id'],0.125,['city_id'],0.125,[],0.0,['datetime'],0.125,[],0.0,['region_id'],0.125,"['city_id', 'country_id', 'creative_id', 'region_id', 'postal_code', 'cost', 'os_id', 'publisher_id', 'browser_id']",0.5806451612903226,['browser_id'],0.125,['creative_id'],0.11764705882352941,['datetime'],0.125,,
agg_monthly,"['brand_id', 'city_id', 'country_id', 'region_id', 'views', 'creative_id', 'spend', 'conversions', 'browser_id', 'postal_code', 'cost', 'os_id', 'publisher_id', 'impressions', 'clicks', 'ymd']",,,"['creative_id', 'cost']",0.19047619047619047,"['brand_id', 'city_id', 'country_id', 'region_id', 'views', 'creative_id', 'spend', 'conversions', 'browser_id', 'postal_code', 'cost', 'os_id', 'publisher_id', 'impressions', 'clicks', 'ymd']",1.0,[],0.0,"['brand_id', 'city_id', 'country_id', 'region_id', 'views', 'creative_id', 'spend', 'conversions', 'browser_id', 'postal_code', 'cost', 'os_id', 'publisher_id', 'impressions', 'clicks', 'ymd']",1.0,"['city_id', 'country_id', 'region_id', 'browser_id', 'postal_code', 'os_id', 'publisher_id']",0.56,['os_id'],0.1111111111111111,['city_id'],0.1111111111111111,['brand_id'],0.10526315789473684,[],0.0,[],0.0,['region_id'],0.1111111111111111,"['brand_id', 'city_id', 'country_id', 'region_id', 'views', 'creative_id', 'spend', 'conversions', 'browser_id', 'postal_code', 'cost', 'os_id', 'publisher_id', 'impressions', 'clicks', 'ymd']",0.9696969696969697,['browser_id'],0.1111111111111111,"['brand_id', 'creative_id']",0.21052631578947367,[],0.0,"['city_id', 'country_id', 'region_id', 'creative_id', 'browser_id', 'postal_code', 'cost', 'os_id', 'publisher_id']",0.6
ad_win,"['creative_id', 'datetime', 'price', 'cost', 'ad_request_id']","['creative_id', 'cost']",0.19047619047619047,,,"['creative_id', 'cost']",0.19047619047619047,"['datetime', 'ad_request_id']",0.5714285714285714,"['creative_id', 'cost']",0.19047619047619047,"['datetime', 'ad_request_id']",0.2857142857142857,[],0.0,[],0.0,[],0.0,"['datetime', 'ad_request_id']",0.5714285714285714,[],0.0,[],0.0,"['creative_id', 'cost']",0.18181818181818182,[],0.0,['creative_id'],0.25,"['datetime', 'ad_request_id']",0.5714285714285714,"['creative_id', 'datetime', 'price', 'cost']",0.42105263157894735
agg_daily,"['brand_id', 'city_id', 'country_id', 'region_id', 'views', 'creative_id', 'spend', 'conversions', 'browser_id', 'postal_code', 'cost', 'os_id', 'publisher_id', 'impressions', 'clicks', 'ymd']","['brand_id', 'city_id', 'country_id', 'region_id', 'views', 'creative_id', 'spend', 'conversions', 'browser_id', 'postal_code', 'cost', 'os_id', 'publisher_id', 'impressions', 'clicks', 'ymd']",1.0,"['creative_id', 'cost']",0.19047619047619047,,,[],0.0,"['brand_id', 'city_id', 'country_id', 'region_id', 'views', 'creative_id', 'spend', 'conversions', 'browser_id', 'postal_code', 'cost', 'os_id', 'publisher_id', 'impressions', 'clicks', 'ymd']",1.0,"['city_id', 'country_id', 'region_id', 'browser_id', 'postal_code', 'os_id', 'publisher_id']",0.56,['os_id'],0.1111111111111111,['city_id'],0.1111111111111111,['brand_id'],0.10526315789473684,[],0.0,[],0.0,['region_id'],0.1111111111111111,"['brand_id', 'city_id', 'country_id', 'region_id', 'views', 'creative_id', 'spend', 'conversions', 'browser_id', 'postal_code', 'cost', 'os_id', 'publisher_id', 'impressions', 'clicks', 'ymd']",0.9696969696969697,['browser_id'],0.1111111111111111,"['brand_id', 'creative_id']",0.21052631578947367,[],0.0,"['city_id', 'country_id', 'region_id', 'creative_id', 'browser_id', 'postal_code', 'cost', 'os_id', 'publisher_id']",0.6
ad_conversion,"['datetime', 'ad_request_id']",[],0.0,"['datetime', 'ad_request_id']",0.5714285714285714,[],0.0,,,[],0.0,"['datetime', 'ad_request_id']",0.36363636363636365,[],0.0,[],0.0,[],0.0,"['datetime', 'ad_request_id']",1.0,[],0.0,[],0.0,[],0.0,[],0.0,[],0.0,"['datetime', 'ad_request_id']",1.0,['datetime'],0.125
agg_monthly_v2,"['brand_id', 'city_id', 'clicks', 'country_id', 'creative_id', 'region_id', 'spend', 'conversions', 'postal_code', 'views', 'cost', 'os_id', 'publisher_id', 'impressions', 'browser_id', 'ymd']","['brand_id', 'city_id', 'clicks', 'country_id', 'creative_id', 'region_id', 'spend', 'conversions', 'postal_code', 'views', 'cost', 'os_id', 'publisher_id', 'impressions', 'browser_id', 'ymd']",1.0,"['creative_id', 'cost']",0.19047619047619047,"['brand_id', 'city_id', 'clicks', 'country_id', 'creative_id', 'region_id', 'spend', 'conversions', 'postal_code', 'views', 'cost', 'os_id', 'publisher_id', 'impressions', 'browser_id', 'ymd']",1.0,[],0.0,,,"['city_id', 'country_id', 'region_id', 'postal_code', 'os_id', 'publisher_id', 'browser_id']",0.56,['os_id'],0.1111111111111111,['city_id'],0.1111111111111111,['brand_id'],0.10526315789473684,[],0.0,[],0.0,['region_id'],0.1111111111111111,"['brand_id', 'city_id', 'clicks', 'country_id', 'creative_id', 'region_id', 'spend', 'conversions', 'postal_code', 'views', 'cost', 'os_id', 'publisher_id', 'impressions', 'browser_id', 'ymd']",0.9696969696969697,['browser_id'],0.1111111111111111,"['brand_id', 'creative_id']",0.21052631578947367,[],0.0,"['city_id', 'country_id', 'creative_id', 'region_id', 'postal_code', 'cost', 'os_id', 'publisher_id', 'browser_id']",0.6
ad_request,"['city_id', 'country_id', 'region_id', 'datetime', 'postal_code', 'os_id', 'publisher_id', 'ad_request_id', 'browser_id']","['city_id', 'country_id', 'region_id', 'postal_code', 'os_id', 'publisher_id', 'browser_id']",0.56,"['datetime', 'ad_request_id']",0.2857142857142857,"['city_id', 'country_id', 'region_id', 'postal_code', 'os_id', 'publisher_id', 'browser_id']",0.56,"['datetime', 'ad_request_id']",0.36363636363636365,"['city_id', 'country_id', 'region_id', 'postal_code', 'os_id', 'publisher_id', 'browser_id']",0.56,,,['os_id'],0.18181818181818182,['city_id'],0.18181818181818182,[],0.0,"['datetime', 'ad_request_id']",0.36363636363636365,[],0.0,['region_id'],0.18181818181818182,"['city_id', 'country_id', 'region_id', 'postal_code', 'os_id', 'publisher_id', 'browser_id']",0.5384615384615384,['browser_id'],0.18181818181818182,[],0.0,"['datetime', 'ad_request_id']",0.36363636363636365,"['city_id', 'country_id', 'region_id', 'datetime', 'postal_code', 'os_id', 'publisher_id', 'browser_id']",0.6956521739130435
operating_system,"['operating_system_name', 'os_id']",['os_id'],0.1111111111111111,[],0.0,['os_id'],0.1111111111111111,[],0.0,['os_id'],0.1111111111111111,['os_id'],0.18181818181818182,,,[],0.0,[],0.0,[],0.0,[],0.0,[],0.0,['os_id'],0.10526315789473684,[],0.0,[],0.0,[],0.0,['os_id'],0.125
city,"['city_name', 'city_id']",['city_id'],0.1111111111111111,[],0.0,['city_id'],0.1111111111111111,[],0.0,['city_id'],0.1111111111111111,['city_id'],0.18181818181818182,[],0.0,,,[],0.0,[],0.0,[],0.0,[],0.0,['city_id'],0.10526315789473684,[],0.0,[],0.0,[],0.0,['city_id'],0.125
brand,"['brand_category_id', 'brand_name', 'brand_id']",['brand_id'],0.10526315789473684,[],0.0,['brand_id'],0.10526315789473684,[],0.0,['brand_id'],0.10526315789473684,[],0.0,[],0.0,[],0.0,,,[],0.0,['brand_category_id'],0.4,[],0.0,['brand_id'],0.1,[],0.0,['brand_id'],0.3333333333333333,[],0.0,[],0.0
