table,agg_monthly,ad_win,agg_daily,ad_conversion,agg_monthly_v2,ad_request,operating_system,city,brand,ad_click,brand_category,region,agg_hourly,browser,creative,ad_view,ad_combined
ad_combined,0.6,0.42105263157894735,0.6,0.125,0.6,0.6956521739130435,0.125,0.125,0.0,0.125,0.0,0.125,0.5806451612903226,0.125,0.11764705882352941,0.125,
agg_monthly,,0.19047619047619047,1.0,0.0,1.0,0.56,0.1111111111111111,0.1111111111111111,0.10526315789473684,0.0,0.0,0.1111111111111111,0.9696969696969697,0.1111111111111111,0.21052631578947367,0.0,0.6
ad_win,0.19047619047619047,,0.19047619047619047,0.5714285714285714,0.19047619047619047,0.2857142857142857,0.0,0.0,0.0,0.5714285714285714,0.0,0.0,0.18181818181818182,0.0,0.25,0.5714285714285714,0.42105263157894735
agg_daily,1.0,0.19047619047619047,,0.0,1.0,0.56,0.1111111111111111,0.1111111111111111,0.10526315789473684,0.0,0.0,0.1111111111111111,0.9696969696969697,0.1111111111111111,0.21052631578947367,0.0,0.6
ad_conversion,0.0,0.5714285714285714,0.0,,0.0,0.36363636363636365,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.125
agg_monthly_v2,1.0,0.19047619047619047,1.0,0.0,,0.56,0.1111111111111111,0.1111111111111111,0.10526315789473684,0.0,0.0,0.1111111111111111,0.9696969696969697,0.1111111111111111,0.21052631578947367,0.0,0.6
ad_request,0.56,0.2857142857142857,0.56,0.36363636363636365,0.56,,0.18181818181818182,0.18181818181818182,0.0,0.36363636363636365,0.0,0.18181818181818182,0.5384615384615384,0.18181818181818182,0.0,0.36363636363636365,0.6956521739130435
operating_system,0.1111111111111111,0.0,0.1111111111111111,0.0,0.1111111111111111,0.18181818181818182,,0.0,0.0,0.0,0.0,0.0,0.10526315789473684,0.0,0.0,0.0,0.125
city,0.1111111111111111,0.0,0.1111111111111111,0.0,0.1111111111111111,0.18181818181818182,0.0,,0.0,0.0,0.0,0.0,0.10526315789473684,0.0,0.0,0.0,0.125
brand,0.10526315789473684,0.0,0.10526315789473684,0.0,0.10526315789473684,0.0,0.0,0.0,,0.0,0.4,0.0,0.1,0.0,0.3333333333333333,0.0,0.0
ad_click,0.0,0.5714285714285714,0.0,1.0,0.0,0.36363636363636365,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,1.0,0.125
brand_category,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4,0.0,,0.0,0.0,0.0,0.0,0.0,0.0
region,0.1111111111111111,0.0,0.1111111111111111,0.0,0.1111111111111111,0.18181818181818182,0.0,0.0,0.0,0.0,0.0,,0.10526315789473684,0.0,0.0,0.0,0.125
agg_hourly,0.9696969696969697,0.18181818181818182,0.9696969696969697,0.0,0.9696969696969697,0.5384615384615384,0.10526315789473684,0.10526315789473684,0.1,0.0,0.0,0.10526315789473684,,0.10526315789473684,0.2,0.0,0.5806451612903226
browser,0.1111111111111111,0.0,0.1111111111111111,0.0,0.1111111111111111,0.18181818181818182,0.0,0.0,0.0,0.0,0.0,0.0,0.10526315789473684,,0.0,0.0,0.125
creative,0.21052631578947367,0.25,0.21052631578947367,0.0,0.21052631578947367,0.0,0.0,0.0,0.3333333333333333,0.0,0.0,0.0,0.2,0.0,,0.0,0.11764705882352941
ad_view,0.0,0.5714285714285714,0.0,1.0,0.0,0.36363636363636365,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,,0.125
